"Timestamp","1. ¿En qué cuatrimestre te encuentras actualmente? ","2. ¿Cuál es tu promedio general actual?","3. ¿Has utilizado alguna herramienta de inteligencia artificial (IA) en tus tareas escolares?","4. ¿Con qué frecuencia usas IA para tus actividades académicas?","5. ¿Qué herramientas de IA has utilizado? (Selecciona todas las que apliquen) 
","6. ¿En qué asignaturas usas más la IA? (Selecciona hasta 3) 
","7. ¿Para qué fines utilizas la IA? (Selecciona todas las que apliquen) 
","8. ¿Crees que usar IA para generar código constituye plagio si se entiende y se modifica la solución? 
","9. ¿Has recibido orientación de tus profesores sobre el uso ético y responsable de la IA? 
","10. ¿Qué opinas sobre la prohibición de usar IA en exámenes o tareas evaluadas? 
","11. ¿Te sientes más productivo al usar IA? ","12. ¿Confías plenamente en las respuestas que te da la IA? ","13. ¿Qué te gustaría que los profesores o la institución hicieran respecto al uso de la inteligencia artificial en clase?
(Respuesta abierta, hasta 150 palabras)","14. ¿Tienes alguna experiencia positiva o negativa que quieras compartir sobre el uso de IA en tus estudios?
(Respuesta abierta, hasta 150 palabras)"
"2025/09/04 8:20:37 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 9.0 a 10.0","Sí","Ocasionalmente","ChatGPT (OpenAI)","Redacción de Informes Técnicos","Explicar conceptos complejos;Traducir o redactar textos técnicos","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","Pues estaría bastante bien que la permitieran pero pues más bien para darte una idea de que tienes que hacer por qué a veces yo busco explicaciones con ella porque no termino de entender del todo a los maestros ","Pues una Positiva que si nos ayudó a alumnos que la usábamos como se debía y la negativa es que muchos de mis compañeros de preparatoria están batallando en la uni porque todo lo hacian con la IA"
"2025/09/04 8:20:40 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Otra","Ciencias Básicas (Matemáticas, Física);Otra","Explicar conceptos complejos;Resolver ejercicios o problemas","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Que la permitieran cuando se trata de realizar trabajos que son difíciles de hacer sin preparación previa.
En momentos de exámen debería quedar prohibida para promover la honestidad al momento de realizarlo.","Es regular.
La IA es una herramienta de asistencia personal, es muy útil, pero no debemos verlo como una solución a todos nuestros problemas. Siempre tenemos que usarlo con responsabilidad y no como una salida a lo fácil."
"2025/09/04 8:21:57 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","Menos de 8.0","Sí","Varias veces por semana","ChatGPT (OpenAI)","Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, un poco más","En parte, luego las verifico","Que los permitiera utilizar la IA para algunas actividades o investigaciones ","Que fue una herramienta que me ayudó a entender código de programación mejor "
"2025/09/04 8:21:59 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI)","Desarrollo de Aplicaciones Web/Móviles","Depurar o corregir errores en código","Depende del contexto","Sí, en alguna ocasión","No tengo opinión formada","No, me distrae","No, siempre las reviso y modifico","Pues usar la cuando la necesitamos y que no sea para todo, a mi gusto la verdad casi no uso IA. ","La IA debería existir pero con ciertas reglas, porque hoy en día la gente y más que todos los docentes no quieren batallar y usan la IA depende de eso en pocas palabras esta mal. "
"2025/09/04 8:24:19 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","Gemini (Google);Microsoft Bing AI / Copilot","Ciencias Básicas (Matemáticas, Física);Otra","Otra","No, si se entiende y se adapta, no es plagio","No sé si es necesario","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Que se utilize como última opción para trabajos más complejos o requiera uso de esta para alguna situación en la que al buscar información de sierto tema no te sale mucha de la información requerir usarla.","No necesariamente."
"2025/09/04 8:24:37 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Otra","Otra","Traducir o redactar textos técnicos;Otra","Depende del contexto","No, nunca","Es necesaria para garantizar la honestidad académica","Sí, un poco más","No, siempre las reviso y modifico","Limitar su uso para trabajos de matematica","He detectado algunas fallas con la información que otorga la IA, ya que no siempre es correcta"
"2025/09/04 8:27:39 am GMT-6","Primer ciclo de formación (1-3 cuatrimestre)","De 8.0 a 8.9","No (Si respondes ""No"", pasa a la pregunta 13)","Ocasionalmente","Otra","Desarrollo Humano y Valores","Preparar presentaciones","No lo sé","No sé si es necesario","No tengo opinión formada","Sí, un poco más","En parte, luego las verifico","Lo más posiblemente ","No tengo experiencia "
"2025/09/04 10:07:05 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Diariamente","ChatGPT (OpenAI);GitHub Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Generar código;Depurar o corregir errores en código;Explicar conceptos complejos;Crear documentación (comentarios, manuales);Preparar presentaciones","No, si se entiende y se adapta, no es plagio","Sí, en alguna ocasión","Debería permitirse con reglas claras","Sí, mucho más","En parte, luego las verifico","Que se permita para realizar ciertas actividades, así ser más productivos","El uso de la IA me ha permitido ser más productivo y eficaz en todas mis tareas"
"2025/09/04 10:07:28 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 8.0 a 8.9","Sí","Ocasionalmente","ChatGPT (OpenAI);Gemini (Google);GitHub Copilot;Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo de Aplicaciones Web/Móviles;Otra","Generar código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Debería permitirse con reglas claras","Sí, un poco más","No, siempre las reviso y modifico","Impartir algún tipo de curso o tutoría donde se informe y fomente maneras de uso responsable y efectiva",""
"2025/09/04 10:07:30 am GMT-6","Segundo ciclo de formación (4-6 cuatrimestre)","De 9.0 a 10.0","Sí","Varias veces por semana","ChatGPT (OpenAI);Gemini (Google);Microsoft Bing AI / Copilot;Claude (Anthropic)","Desarrollo Humano y Valores;Desarrollo de Aplicaciones Web/Móviles;Redacción de Informes Técnicos","Depurar o corregir errores en código;Explicar conceptos complejos;Traducir o redactar textos técnicos;Preparar presentaciones","No, si se entiende y se adapta, no es plagio","No, nunca","Es desactualizada, la IA ya forma parte del trabajo real de un ingeniero","Sí, mucho más","No, siempre las reviso y modifico","que fuera permitida en ciertos contextos en lugar de una prohibicion total de la misma","Las explicaciones y las simplificaciones que dan a la hora de preguntar acerca de un tema en especifico ayuda demasiado a lograr un mejor entendimiento de el tema."
